antecedent,consequent,support,confidence,lift
{12},{18},0.273,0.746,1.058
{18},{12},0.273,0.387,1.058
{18},{35},0.154,0.218,0.985
{35},{18},0.154,0.694,0.985
{18},{42},0.224,0.318,1.002
{42},{18},0.224,0.707,1.002
{18},{46},0.28,0.398,1.068
{46},{18},0.28,0.753,1.068
{18},{32},0.304,0.431,1.043
{32},{18},0.304,0.736,1.043
{18},{37},0.167,0.237,1.018
{37},{18},0.167,0.718,1.018
{18},{39},0.229,0.324,1.026
{39},{18},0.229,0.723,1.026
{18},{43},0.158,0.224,1.077
{43},{18},0.158,0.759,1.077
{18},{47},0.144,0.204,0.989
{47},{18},0.144,0.697,0.989
{5},{18},0.166,0.734,1.041
{18},{5},0.166,0.236,1.041
{18},{33},0.119,0.169,1.004
{33},{18},0.119,0.708,1.004
{18},{29},0.212,0.3,1.071
{29},{18},0.212,0.755,1.071
{18},{38},0.197,0.279,1.038
{38},{18},0.197,0.732,1.038
{10},{18},0.1,0.713,1.012
{18},{10},0.1,0.142,1.012
{19},{20},0.156,0.29,1.072
{20},{19},0.156,0.578,1.072
{19},{21},0.175,0.323,1.055
{21},{19},0.175,0.569,1.055
{19},{24},0.117,0.216,1.018
{24},{19},0.117,0.549,1.018
{19},{28},0.19,0.352,1.028
{28},{19},0.19,0.555,1.028
{19},{30},0.316,0.586,1.041
{30},{19},0.316,0.562,1.041
{19},{34},0.36,0.667,1.041
{34},{19},0.36,0.561,1.041
{19},{44},0.213,0.394,1.056
{44},{19},0.213,0.57,1.056
{19},{48},0.268,0.496,1.036
{48},{19},0.268,0.559,1.036
{19},{49},0.219,0.406,1.045
{49},{19},0.219,0.564,1.045
{3},{19},0.137,0.574,1.064
{19},{3},0.137,0.254,1.064
{15},{19},0.175,0.572,1.059
{19},{15},0.175,0.323,1.059
{16},{19},0.286,0.558,1.034
{19},{16},0.286,0.531,1.034
{19},{26},0.233,0.431,1.045
{26},{19},0.233,0.564,1.045
{19},{41},0.123,0.228,1.1
{41},{19},0.123,0.594,1.1
{2},{19},0.157,0.575,1.066
{19},{2},0.157,0.291,1.066
{12},{19},0.204,0.558,1.034
{19},{12},0.204,0.378,1.034
{19},{35},0.119,0.221,0.999
{35},{19},0.119,0.539,0.999
{19},{42},0.175,0.324,1.021
{42},{19},0.175,0.551,1.021
{19},{46},0.206,0.382,1.025
{46},{19},0.206,0.553,1.025
{19},{32},0.226,0.419,1.014
{32},{19},0.226,0.547,1.014
{19},{37},0.132,0.245,1.052
{37},{19},0.132,0.567,1.052
{19},{39},0.178,0.33,1.043
{39},{19},0.178,0.563,1.043
{19},{43},0.114,0.212,1.02
{43},{19},0.114,0.551,1.02
{19},{47},0.114,0.211,1.023
{47},{19},0.114,0.552,1.023
{5},{19},0.119,0.525,0.973
{19},{5},0.119,0.221,0.973
{19},{29},0.159,0.295,1.052
{29},{19},0.159,0.568,1.052
{19},{38},0.147,0.273,1.016
{38},{19},0.147,0.548,1.016
{20},{30},0.154,0.57,1.011
{30},{20},0.154,0.274,1.011
{20},{34},0.177,0.654,1.02
{34},{20},0.177,0.276,1.02
{20},{44},0.109,0.404,1.084
